"Time","ClientVersion","IP","Platform"
"2022-06-24T18:28:41Z","5.0.0.2559","65.30.239.102","Windows"
"2022-06-23T18:34:12Z","4.0.1.1302","65.30.239.102","Linux"
"2022-06-23T17:54:51Z","4.0.6.2415","65.30.239.102","Windows"
